,Chatting
0,https://vt.tiktok.com/ZSLbPCg9u/
1,"Bhi y apni domain nhi h...

Jo pocha tha wo btayo"
2,Mein ne send nai kia
3,Then think  about that
4,https://m.facebook.com/story.php?story_fbid=pfbid02Z26piVHwxhfqLDK7xpw9nuVeSh4HhGw3XTVAAwG6WAdbet2c5GHSvmirXCZyJsCQl&id=100033439960716&sfnsn=scwspwa&mibextid=RUbZ1f
5,Kia kehta
6,Sai sai
7,Mn iub hi beitha
8,2 30 pr point aaana ab
9,Tab aaanei ka faida nai
10,Okay
11,"Upwork cover letter writing tips to close 100 USD / hour jobs

This is how I won a 100 USD / Hour job on Upwork with the help of AI!

https://youtu.be/Faju1y5wFeU"
12,Sao A
13,Okay
14,Aj speedo nhi chal rahi
15,Bnd ho gy h
16,Suboo bhi rakshaw sa aya tha
17,Ab mn keh rha k a ke le jata
18,10:30 tk free ho jyn ga
19,School sa
20,Staff room mn beitha
21,Period hona wala ja rha
22,Phir sir k sath
23,Ok
24,1min
25,Ahsan so rha ha
26,Sahi
27,Raksha per a gana
28,30 rupo leta karaya
29,Aa gana
30,Ami na kha
31,"Ami ko bolo k university jana h, uska karaya km az km 60 70 k kareeb la ga"
32,Uss ki tablet theik nehi ha wo nahi uth rha ami kha rahi jeise app ko behtar lagta ha   kr lo
33,https://www.facebook.com/reel/983554025986056?sfnsn=scwspwa&mibextid=TIkmJG
34,http://Www.joinasf.gov.pk
35,Acha
36,Ahsan y to print karwata lana
37,agr mumkin ho to
38,Wagarna bta do
39,Pesei nai
40,mn khud kuch krta hon
41,okay
42,"Yr Abuzar ko paisa la k karwa lin
Agr ho sakda ta das

Wrna phir mn khud chala jata hn"
43,"Okay chalo 
Mn khud ja rha hn"
44,Abdullah ka dehan rakhna
45,Koi cheez hi khela da
46,Transport Schedule during summer breaks
